pipeline	percId	majorRef	minorReft	noMajorRef	noMinorRef	noBinMajorRef	noBinMinorRef	noBinJunk	noBinRand	time	memory	mappedRef	acutalRef	mismatches	indels	length	alnLength	ins	del	Duplicated
newPipe	2.00	EU450613-ORF2	KX828216-ORF2	14087.00	14073.00	166.00	11946.00	0.00	0.00	135.43	411416.00	KX828216-ORF2	KX828216-ORF2	0.00	3.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	2.00	EU450613-ORF2	KX828216-ORF2	14087.00	14073.00	1054.00	0.00	0.00	0.00	1235.59	407512.00	KX510064-ORF2	EU450613-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	2.00	EU450613-ORF2	KX828216-ORF2	14087.00	14073.00	6.00	6010.00	0.00	0.00	1235.59	407512.00	KX828216-ORF2	KX828216-ORF2	0.00	9.00	0.00	0.00	0.00	0.00	FALSE
allReads	1.40	FJ233908-ORF2	HQ202949-ORF2	14984.00	15129.00	2914.00	13134.00	1.00	1.00	178.85	509340.00	HQ202949-ORF2	HQ202949-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	1.40	FJ233908-ORF2	HQ202949-ORF2	14984.00	15129.00	1120.00	13102.00	0.00	0.00	100.50	406200.00	HQ202949-ORF2	HQ202949-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	1.40	FJ233908-ORF2	HQ202949-ORF2	14984.00	15129.00	1458.00	5.00	0.00	1.00	100.50	406200.00	HQ202949-ORF2	FJ233908-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newPipe	1.40	FJ233908-ORF2	HQ202949-ORF2	14984.00	15129.00	1049.00	12639.00	0.00	0.00	113.71	413276.00	HQ202949-ORF2	HQ202949-ORF2	1.00	3.00	0.00	0.00	0.00	0.00	FALSE
newPipe	1.40	FJ233908-ORF2	HQ202949-ORF2	14984.00	15129.00	1616.00	7.00	0.00	0.00	113.71	413276.00	HQ202949-ORF2	FJ233908-ORF2	0.00	2.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	1.40	FJ233908-ORF2	HQ202949-ORF2	14984.00	15129.00	102.00	6439.00	0.00	0.00	1367.68	411748.00	HQ202949-ORF2	HQ202949-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	1.40	FJ233908-ORF2	HQ202949-ORF2	14984.00	15129.00	1210.00	10.00	0.00	0.00	1367.68	411748.00	HQ202949-ORF2	FJ233908-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
allReads	1.40	FJ644562-ORF2	KY806003-ORF2	14682.00	14490.00	10724.00	12098.00	1.00	3.00	1324.54	667852.00	KY806003-ORF2	KY806003-ORF2	3.00	15.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	1.40	FJ644562-ORF2	KY806003-ORF2	14682.00	14490.00	10601.00	12038.00	1.00	3.00	53.03	402536.00	KY806003-ORF2	FJ644562-ORF2	4.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	1.40	FJ644562-ORF2	KY806003-ORF2	14682.00	14490.00	10184.00	11674.00	0.00	0.00	83.14	414872.00	KY806003-ORF2	KY806003-ORF2	3.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	1.40	FJ644562-ORF2	KY806003-ORF2	14682.00	14490.00	4586.00	5562.00	0.00	0.00	1670.20	407744.00	KY806003-ORF2	KY806003-ORF2	3.00	1.00	0.00	0.00	0.00	0.00	FALSE
allReads	3.30	FJ804417-ORF2	KP081538-ORF2	14204.00	14055.00	12276.00	7310.00	3.00	1.00	756.56	548012.00	FJ804417-ORF2	FJ804417-ORF2	4.00	4.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	3.30	FJ804417-ORF2	KP081538-ORF2	14204.00	14055.00	12251.00	46.00	3.00	1.00	107.24	406876.00	FJ804417-ORF2	FJ804417-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	3.30	FJ804417-ORF2	KP081538-ORF2	14204.00	14055.00	3.00	6210.00	0.00	0.00	107.24	406876.00	KP081542-ORF2	KP081538-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	TRUE
oldPipe	3.30	FJ804417-ORF2	KP081538-ORF2	14204.00	14055.00	1.00	959.00	0.00	0.00	107.24	406876.00	KP081542-ORF2	KP081538-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	3.30	FJ804417-ORF2	KP081538-ORF2	14204.00	14055.00	11787.00	6.00	0.00	0.00	123.12	408872.00	FJ804417-ORF2	FJ804417-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newPipe	3.30	FJ804417-ORF2	KP081538-ORF2	14204.00	14055.00	0.00	6796.00	0.00	0.00	123.12	408872.00	KP081542-ORF2	KP081538-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	3.30	FJ804417-ORF2	KP081538-ORF2	14204.00	14055.00	6106.00	1.00	0.00	0.00	1718.87	408672.00	FJ804417-ORF2	FJ804417-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	3.30	FJ804417-ORF2	KP081538-ORF2	14204.00	14055.00	0.00	4123.00	0.00	0.00	1718.87	408672.00	KP081542-ORF2	KP081538-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
allReads	1.40	HQ202949-ORF2	FJ233908-ORF2	14690.00	14516.00	12684.00	2834.00	0.00	0.00	596.47	417264.00	HQ202949-ORF2	HQ202949-ORF2	0.00	2.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	1.40	HQ202949-ORF2	FJ233908-ORF2	14690.00	14516.00	12649.00	1127.00	0.00	0.00	102.81	409856.00	HQ202949-ORF2	HQ202949-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	1.40	HQ202949-ORF2	FJ233908-ORF2	14690.00	14516.00	4.00	1383.00	0.00	0.00	102.81	409856.00	HQ202949-ORF2	FJ233908-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	1.40	HQ202949-ORF2	FJ233908-ORF2	14690.00	14516.00	12215.00	1061.00	0.00	0.00	119.95	404748.00	HQ202949-ORF2	HQ202949-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newPipe	1.40	HQ202949-ORF2	FJ233908-ORF2	14690.00	14516.00	4.00	1521.00	0.00	0.00	119.95	404748.00	HQ202949-ORF2	FJ233908-ORF2	0.00	2.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	1.40	HQ202949-ORF2	FJ233908-ORF2	14690.00	14516.00	5957.00	137.00	0.00	0.00	1334.87	407292.00	HQ202949-ORF2	HQ202949-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	1.40	HQ202949-ORF2	FJ233908-ORF2	14690.00	14516.00	9.00	1254.00	0.00	0.00	1334.87	407292.00	HQ202949-ORF2	FJ233908-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
allReads	3.10	HQ202949-ORF2	HQ202950-ORF2	14103.00	14354.00	12151.00	10943.00	0.00	1.00	555.09	694548.00	HQ202949-ORF2	HQ202949-ORF2	5.00	5.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	3.10	HQ202949-ORF2	HQ202950-ORF2	14103.00	14354.00	12089.00	45.00	0.00	1.00	76.90	407996.00	HQ202949-ORF2	HQ202949-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	3.10	HQ202949-ORF2	HQ202950-ORF2	14103.00	14354.00	13.00	10805.00	0.00	0.00	76.90	407996.00	JF683403-ORF2	HQ202950-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	3.10	HQ202949-ORF2	HQ202950-ORF2	14103.00	14354.00	11708.00	22.00	0.00	0.00	100.92	411248.00	HQ202949-ORF2	HQ202949-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	3.10	HQ202949-ORF2	HQ202950-ORF2	14103.00	14354.00	3.00	10182.00	0.00	0.00	100.92	411248.00	JF683403-ORF2	HQ202950-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	3.10	HQ202949-ORF2	HQ202950-ORF2	14103.00	14354.00	5868.00	5.00	0.00	0.00	1859.87	408780.00	HQ202949-ORF2	HQ202949-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	3.10	HQ202949-ORF2	HQ202950-ORF2	14103.00	14354.00	0.00	5471.00	0.00	0.00	1859.87	408780.00	JF683403-ORF2	HQ202950-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
allReads	3.10	HQ202950-ORF2	HQ202949-ORF2	14600.00	14730.00	11045.00	12808.00	4.00	4.00	534.61	519812.00	HQ202949-ORF2	HQ202949-ORF2	5.00	4.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	3.10	HQ202950-ORF2	HQ202949-ORF2	14600.00	14730.00	60.00	12761.00	3.00	3.00	83.13	405860.00	HQ202949-ORF2	HQ202949-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	3.10	HQ202950-ORF2	HQ202949-ORF2	14600.00	14730.00	10896.00	13.00	1.00	1.00	83.13	405860.00	JF683403-ORF2	HQ202950-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	3.10	HQ202950-ORF2	HQ202949-ORF2	14600.00	14730.00	34.00	12306.00	0.00	0.00	103.13	404908.00	HQ202949-ORF2	HQ202949-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	3.10	HQ202950-ORF2	HQ202949-ORF2	14600.00	14730.00	10313.00	9.00	0.00	0.00	103.13	404908.00	JF683403-ORF2	HQ202950-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	3.10	HQ202950-ORF2	HQ202949-ORF2	14600.00	14730.00	0.00	5945.00	0.00	0.00	1906.38	411064.00	HQ202949-ORF2	HQ202949-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	3.10	HQ202950-ORF2	HQ202949-ORF2	14600.00	14730.00	5813.00	1.00	0.00	0.00	1906.38	411064.00	JF683403-ORF2	HQ202950-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
allReads	1.40	HQ202950-ORF2	JF683403-ORF2	14134.00	14036.00	10749.00	12204.00	6.00	2.00	764.63	483328.00	JF683403-ORF2	JF683403-ORF2	4.00	10.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	1.40	HQ202950-ORF2	JF683403-ORF2	14134.00	14036.00	10639.00	12185.00	6.00	2.00	54.08	414208.00	JF683403-ORF2	HQ202950-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	1.40	HQ202950-ORF2	JF683403-ORF2	14134.00	14036.00	9958.00	11756.00	0.00	0.00	76.10	415840.00	JF683403-ORF2	JF683403-ORF2	1.00	0.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	1.40	HQ202950-ORF2	JF683403-ORF2	14134.00	14036.00	4677.00	5118.00	0.00	0.00	1741.44	414892.00	JF683403-ORF2	JF683403-ORF2	2.00	0.00	0.00	0.00	0.00	0.00	FALSE
allReads	2.00	JF683403-ORF2	AB512130-ORF2	14695.00	14646.00	12749.00	5000.00	0.00	3.00	129.88	431680.00	JF683403-ORF2	JF683403-ORF2	1.00	0.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	2.00	JF683403-ORF2	AB512130-ORF2	14695.00	14646.00	12722.00	97.00	0.00	2.00	105.90	407360.00	JF683403-ORF2	JF683403-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	2.00	JF683403-ORF2	AB512130-ORF2	14695.00	14646.00	5.00	4528.00	0.00	0.00	105.90	407360.00	KT868187-ORF2	AB512130-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newPipe	2.00	JF683403-ORF2	AB512130-ORF2	14695.00	14646.00	12308.00	61.00	0.00	0.00	118.12	410796.00	JF683403-ORF2	JF683403-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	2.00	JF683403-ORF2	AB512130-ORF2	14695.00	14646.00	5.00	4586.00	0.00	0.00	118.12	410796.00	KT868187-ORF2	AB512130-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	2.00	JF683403-ORF2	AB512130-ORF2	14695.00	14646.00	6237.00	0.00	0.00	0.00	1481.77	412048.00	JF683403-ORF2	JF683403-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	2.00	JF683403-ORF2	AB512130-ORF2	14695.00	14646.00	1.00	3261.00	0.00	0.00	1481.77	412048.00	KT868187-ORF2	AB512130-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
allReads	1.40	JF683403-ORF2	HQ202950-ORF2	14205.00	14274.00	12326.00	10843.00	3.00	2.00	1141.64	750656.00	JF683403-ORF2	HQ202950-ORF2	4.00	7.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	1.40	JF683403-ORF2	HQ202950-ORF2	14205.00	14274.00	12291.00	10721.00	3.00	2.00	59.08	408752.00	JF683403-ORF2	JF683403-ORF2	3.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	1.40	JF683403-ORF2	HQ202950-ORF2	14205.00	14274.00	11831.00	10049.00	0.00	0.00	75.18	408452.00	JF683403-ORF2	HQ202950-ORF2	3.00	2.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	1.40	JF683403-ORF2	HQ202950-ORF2	14205.00	14274.00	3760.00	3618.00	0.00	0.00	1730.38	411704.00	JF683403-ORF2	HQ202950-ORF2	3.00	0.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	1.40	JF683403-ORF2	HQ202950-ORF2	14205.00	14274.00	1548.00	1172.00	0.00	0.00	1730.38	411704.00	JF683403-ORF2	JF683403-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
allReads	2.10	JF683403-ORF2	LC310740-ORF2	14246.00	14356.00	12374.00	2315.00	1.00	3.00	799.58	1240396.00	JF683403-ORF2	JF683403-ORF2	1.00	0.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	2.10	JF683403-ORF2	LC310740-ORF2	14246.00	14356.00	12352.00	52.00	1.00	3.00	146.39	414980.00	JF683403-ORF2	JF683403-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	2.10	JF683403-ORF2	LC310740-ORF2	14246.00	14356.00	4.00	855.00	0.00	0.00	146.39	414980.00	KX828216-ORF2	LC310740-ORF2	1.00	0.00	0.00	0.00	0.00	0.00	TRUE
oldPipe	2.10	JF683403-ORF2	LC310740-ORF2	14246.00	14356.00	1.00	718.00	0.00	0.00	146.39	414980.00	KX828216-ORF2	LC310740-ORF2	1.00	1.00	0.00	0.00	0.00	0.00	FALSE
newPipe	2.10	JF683403-ORF2	LC310740-ORF2	14246.00	14356.00	11935.00	11.00	0.00	0.00	149.13	407112.00	JF683403-ORF2	JF683403-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newPipe	2.10	JF683403-ORF2	LC310740-ORF2	14246.00	14356.00	3.00	1972.00	0.00	0.00	149.13	407112.00	KX828216-ORF2	LC310740-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	2.10	JF683403-ORF2	LC310740-ORF2	14246.00	14356.00	5807.00	1.00	0.00	0.00	1227.23	409920.00	JF683403-ORF2	JF683403-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	2.10	JF683403-ORF2	LC310740-ORF2	14246.00	14356.00	1.00	1097.00	0.00	0.00	1227.23	409920.00	NA	LC310740-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
allReads	3.40	JF690912-ORF2	KX169329-ORF2	14668.00	14371.00	11713.00	12418.00	3.00	2.00	288.49	435948.00	KX169329-ORF2	KX169329-ORF2	10.00	1.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	3.40	JF690912-ORF2	KX169329-ORF2	14668.00	14371.00	11599.00	18.00	1.00	1.00	81.71	405592.00	JF690911-ORF2	JF690912-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	3.40	JF690912-ORF2	KX169329-ORF2	14668.00	14371.00	38.00	12365.00	2.00	1.00	81.71	405592.00	KX169329-ORF2	KX169329-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	3.40	JF690912-ORF2	KX169329-ORF2	14668.00	14371.00	11071.00	11.00	0.00	0.00	102.75	403676.00	JF690911-ORF2	JF690912-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newPipe	3.40	JF690912-ORF2	KX169329-ORF2	14668.00	14371.00	4.00	11864.00	0.00	0.00	102.75	403676.00	KX169329-ORF2	KX169329-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	3.40	JF690912-ORF2	KX169329-ORF2	14668.00	14371.00	6258.00	8.00	0.00	0.00	1987.12	410176.00	JF690911-ORF2	JF690912-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	3.40	JF690912-ORF2	KX169329-ORF2	14668.00	14371.00	1.00	5877.00	0.00	0.00	1987.12	410176.00	KX169329-ORF2	KX169329-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
allReads	3.40	JF690912-ORF2	MF314288-ORF2	14465.00	14683.00	11600.00	12735.00	2.00	2.00	885.82	433652.00	MF314288-ORF2	MF314288-ORF2	8.00	12.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	3.40	JF690912-ORF2	MF314288-ORF2	14465.00	14683.00	11452.00	16.00	1.00	1.00	95.99	415664.00	JF690911-ORF2	JF690912-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	3.40	JF690912-ORF2	MF314288-ORF2	14465.00	14683.00	74.00	12686.00	1.00	1.00	95.99	415664.00	MF314288-ORF2	MF314288-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	3.40	JF690912-ORF2	MF314288-ORF2	14465.00	14683.00	10925.00	15.00	0.00	0.00	105.31	408528.00	JF690911-ORF2	JF690912-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newPipe	3.40	JF690912-ORF2	MF314288-ORF2	14465.00	14683.00	17.00	12153.00	0.00	0.00	105.31	408528.00	MF314288-ORF2	MF314288-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	3.40	JF690912-ORF2	MF314288-ORF2	14465.00	14683.00	6231.00	9.00	0.00	0.00	1955.05	409520.00	JF690911-ORF2	JF690912-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	3.40	JF690912-ORF2	MF314288-ORF2	14465.00	14683.00	1.00	5904.00	0.00	0.00	1955.05	409520.00	MF314288-ORF2	MF314288-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
allReads	3.60	JN382175-ORF2	KU697031-ORF2	14362.00	14308.00	12504.00	9218.00	2.00	0.00	784.12	535320.00	JN382175-ORF2	JN382175-ORF2	3.00	3.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	3.60	JN382175-ORF2	KU697031-ORF2	14362.00	14308.00	12470.00	38.00	2.00	0.00	102.99	410440.00	JN382175-ORF2	JN382175-ORF2	0.00	2.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	3.60	JN382175-ORF2	KU697031-ORF2	14362.00	14308.00	14.00	8948.00	0.00	0.00	102.99	410440.00	KY806003-ORF2	KU697031-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	3.60	JN382175-ORF2	KU697031-ORF2	14362.00	14308.00	11961.00	21.00	0.00	0.00	98.33	411064.00	JN382175-ORF2	JN382175-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	3.60	JN382175-ORF2	KU697031-ORF2	14362.00	14308.00	6.00	8611.00	0.00	0.00	98.33	411064.00	KY806003-ORF2	KU697031-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	3.60	JN382175-ORF2	KU697031-ORF2	14362.00	14308.00	5938.00	7.00	0.00	0.00	1874.31	411616.00	JN382175-ORF2	JN382175-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	3.60	JN382175-ORF2	KU697031-ORF2	14362.00	14308.00	2.00	5541.00	0.00	0.00	1874.31	411616.00	KY806003-ORF2	KU697031-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
allReads	1.30	JN382187-ORF2	JN382189-ORF2	14484.00	14453.00	12810.00	9150.00	3.00	0.00	315.34	433792.00	JN382187-ORF2	JN382187-ORF2	3.00	0.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	1.30	JN382187-ORF2	JN382189-ORF2	14484.00	14453.00	12798.00	8672.00	2.00	0.00	103.47	406144.00	JN382187-ORF2	JN382189-ORF2	2.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	1.30	JN382187-ORF2	JN382189-ORF2	14484.00	14453.00	12243.00	8428.00	0.00	0.00	109.63	405368.00	JN382187-ORF2	JN382187-ORF2	3.00	2.00	0.00	0.00	0.00	0.00	FALSE
newPipe	1.30	JN382187-ORF2	JN382189-ORF2	14484.00	14453.00	0.00	146.00	0.00	0.00	109.63	405368.00	JN382187-ORF2	JN382189-ORF2	0.00	2.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	1.30	JN382187-ORF2	JN382189-ORF2	14484.00	14453.00	5562.00	4530.00	0.00	0.00	1770.04	407460.00	JN382187-ORF2	JN382187-ORF2	3.00	1.00	0.00	0.00	0.00	0.00	FALSE
