Program	fastqFile	Computer	readsInFastq	extractionSize	readsExtracted	Replicate	Threads	ElapsedTime	CPUKernTime	CPUserTime	MaxResidentMemoryInKb	PercentCPU
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	3.00	1.00	10.18	1.57	8.63	33840.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	3.00	2.00	9.86	1.75	8.59	32824.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	3.00	3.00	9.84	1.66	8.78	32052.00	106%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	3.00	1.00	9.41	0.99	8.41	8796.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	3.00	1.00	9.58	0.97	8.61	8872.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	4.00	1.00	10.20	1.55	8.67	33908.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	4.00	2.00	9.92	1.59	8.95	32336.00	106%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	4.00	3.00	9.81	1.55	8.84	32332.00	106%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	4.00	1.00	9.46	0.87	8.58	8928.00	100%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	4.00	1.00	9.58	1.14	8.44	8800.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	5.00	1.00	10.18	1.46	8.74	34500.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	5.00	2.00	9.79	1.49	8.77	31788.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	5.00	3.00	9.77	1.59	8.71	32424.00	105%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	5.00	1.00	9.42	1.07	8.35	8800.00	100%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	5.00	1.00	9.56	1.06	8.49	8836.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	6.00	1.00	10.23	1.67	8.58	34340.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	6.00	2.00	9.81	1.59	8.78	31872.00	105%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	6.00	3.00	9.77	1.71	8.61	32512.00	105%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	6.00	1.00	9.41	1.04	8.37	8792.00	100%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	6.00	1.00	9.56	1.00	8.55	8880.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	7.00	1.00	10.20	1.60	8.63	34500.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	7.00	2.00	9.84	1.62	8.80	31580.00	105%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	7.00	3.00	9.78	1.56	8.74	32284.00	105%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	7.00	1.00	9.41	0.97	8.44	8872.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	7.00	1.00	9.57	1.00	8.57	8836.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	8.00	1.00	10.20	1.53	8.70	33988.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	8.00	2.00	9.78	1.74	8.52	31716.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	8.00	3.00	9.78	1.62	8.72	32428.00	105%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	8.00	1.00	9.43	0.94	8.48	8808.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	8.00	1.00	9.59	0.95	8.63	8796.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	9.00	1.00	10.17	1.58	8.62	34500.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	9.00	2.00	9.79	1.65	8.63	31872.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	9.00	3.00	9.76	1.63	8.65	33320.00	105%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	9.00	1.00	9.41	1.04	8.37	8836.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	9.00	1.00	9.56	1.01	8.54	8844.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	10.00	1.00	10.21	1.63	8.60	34964.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	10.00	2.00	9.76	1.61	8.62	31708.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	10.00	3.00	9.81	1.63	8.78	32992.00	106%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	10.00	1.00	9.42	1.03	8.39	8856.00	100%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	10.00	1.00	9.56	0.98	8.57	8868.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	1.00	1.00	12.41	2.41	10.03	154792.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	1.00	2.00	11.68	2.35	10.26	151300.00	107%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	1.00	3.00	11.56	2.44	10.28	151988.00	110%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	1.00	1.00	11.22	1.71	9.50	83540.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	1.00	1.00	11.35	1.59	9.75	83540.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	2.00	1.00	12.50	2.30	10.23	154192.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	2.00	2.00	11.56	2.46	10.03	151724.00	108%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	2.00	3.00	11.53	2.23	10.51	150052.00	110%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	2.00	1.00	11.23	1.73	9.49	83524.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	2.00	1.00	11.26	1.71	9.55	83508.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	3.00	1.00	12.37	2.24	10.16	157240.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	3.00	2.00	11.77	2.29	10.55	149804.00	109%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	3.00	3.00	11.49	2.29	10.36	151028.00	110%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	3.00	1.00	11.09	1.71	9.38	83540.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	3.00	1.00	11.27	1.64	9.63	83536.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	4.00	1.00	12.36	2.25	10.13	153652.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	4.00	2.00	11.56	2.27	10.25	151012.00	108%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	4.00	3.00	11.46	2.34	10.30	150504.00	110%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	4.00	1.00	11.22	1.67	9.54	83472.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	4.00	1.00	11.24	1.66	9.58	83536.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	5.00	1.00	12.39	2.36	10.06	155692.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	5.00	2.00	11.63	2.47	10.15	147256.00	108%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	5.00	3.00	11.49	2.39	10.38	148112.00	111%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	5.00	1.00	11.25	1.54	9.70	83544.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	5.00	1.00	11.36	1.70	9.65	83520.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	6.00	1.00	12.46	2.41	10.08	155360.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	6.00	2.00	11.61	2.26	10.27	152760.00	108%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	6.00	3.00	11.48	2.27	10.38	151572.00	110%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	6.00	1.00	11.19	1.64	9.54	83512.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	6.00	1.00	11.36	1.85	9.51	83520.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	7.00	1.00	12.38	2.41	9.99	154864.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	7.00	2.00	11.66	2.46	10.17	149912.00	108%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	7.00	3.00	11.53	2.37	10.37	151560.00	110%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	7.00	1.00	11.19	1.65	9.54	83524.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	7.00	1.00	11.31	1.75	9.56	83480.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	8.00	1.00	12.41	2.42	10.02	152432.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	8.00	2.00	11.78	2.38	10.51	152640.00	109%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	8.00	3.00	11.52	2.47	10.31	147956.00	111%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	8.00	1.00	11.12	1.60	9.51	83544.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	8.00	1.00	11.35	1.63	9.72	83476.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	9.00	1.00	12.37	2.16	10.24	152208.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	9.00	2.00	11.56	2.13	10.40	144572.00	108%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	9.00	3.00	11.47	2.45	10.22	152520.00	110%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	9.00	1.00	11.20	1.73	9.47	83604.00	100%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	9.00	1.00	11.34	1.58	9.75	83508.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	10.00	1.00	12.41	2.53	9.91	156960.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	10.00	2.00	11.75	2.35	10.52	147780.00	109%
seqkit	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	10.00	3.00	11.54	2.31	10.47	151284.00	110%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	10.00	1.00	11.23	1.75	9.47	83504.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	603139.00	603139.00	10.00	1.00	11.31	1.57	9.73	83600.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	1.00	1.00	15.26	3.41	11.88	346852.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	1.00	2.00	13.88	3.52	11.90	315100.00	111%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	1.00	3.00	13.64	3.35	12.29	312920.00	114%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	1.00	1.00	13.34	2.63	10.70	198928.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	1.00	1.00	13.51	2.70	10.80	198840.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	2.00	1.00	15.26	3.62	11.67	343080.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	2.00	2.00	13.93	3.61	11.82	312612.00	110%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	2.00	3.00	13.58	3.40	12.18	313928.00	114%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	2.00	1.00	13.23	2.66	10.56	198864.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	2.00	1.00	13.54	2.72	10.80	198820.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	3.00	1.00	15.19	3.51	11.72	345664.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	3.00	2.00	13.85	3.49	11.91	314056.00	111%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	3.00	3.00	13.58	3.61	11.98	313912.00	114%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	3.00	1.00	13.29	2.62	10.67	198800.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	3.00	1.00	13.52	2.60	10.92	198796.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	4.00	1.00	15.28	3.41	11.91	343220.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	4.00	2.00	13.87	3.38	12.07	312920.00	111%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	4.00	3.00	13.58	3.30	12.40	316588.00	115%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	4.00	1.00	13.24	2.64	10.59	198864.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	4.00	1.00	13.58	2.76	10.81	198824.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	5.00	1.00	15.42	3.42	11.99	350976.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	5.00	2.00	13.79	3.38	11.99	313536.00	111%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	5.00	3.00	13.65	3.43	12.27	310160.00	115%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	5.00	1.00	13.32	2.70	10.62	198848.00	100%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	5.00	1.00	13.53	2.60	10.93	198792.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	6.00	1.00	15.27	3.40	11.88	352572.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	6.00	2.00	13.86	3.40	11.98	313244.00	111%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	6.00	3.00	13.55	3.56	11.98	312768.00	114%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	6.00	1.00	13.65	2.63	10.88	198804.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	6.00	1.00	13.59	2.65	10.85	198856.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	7.00	1.00	15.33	3.57	11.74	347480.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	7.00	2.00	13.95	3.57	11.89	311112.00	110%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	7.00	3.00	13.68	3.66	11.96	313428.00	114%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	7.00	1.00	13.34	2.70	10.56	198864.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	7.00	1.00	13.49	2.60	10.84	198792.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	8.00	1.00	15.25	3.60	11.69	345300.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	8.00	2.00	13.82	3.47	11.90	312688.00	111%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	8.00	3.00	13.58	3.46	12.19	317612.00	115%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	8.00	1.00	13.24	2.62	10.61	198832.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	8.00	1.00	13.31	2.67	10.63	198788.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	9.00	1.00	15.15	3.42	11.76	348652.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	9.00	2.00	13.87	3.56	11.89	314532.00	111%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	9.00	3.00	13.53	3.31	12.22	314388.00	114%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	9.00	1.00	13.39	2.39	10.99	198864.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	9.00	1.00	13.40	2.77	10.62	198796.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	10.00	1.00	15.32	3.66	11.70	341240.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	10.00	2.00	13.85	3.43	11.99	316904.00	111%
seqkit	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	10.00	3.00	13.58	3.42	12.16	312396.00	114%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	10.00	1.00	13.31	2.76	10.54	198844.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	1507848.00	1507848.00	10.00	1.00	13.50	2.55	10.95	198800.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	2110988.00	2110988.00	1.00	1.00	17.54	4.52	13.05	631660.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	2110988.00	2110988.00	1.00	2.00	15.63	4.59	12.94	491040.00	112%
seqkit	UP9-all.fastq	fastIO	6031394.00	2110988.00	2110988.00	1.00	3.00	15.41	4.34	13.62	558572.00	116%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	2110988.00	2110988.00	1.00	1.00	14.85	3.43	11.41	297540.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	2110988.00	2110988.00	1.00	1.00	14.77	3.57	11.19	297532.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	2110988.00	2110988.00	2.00	1.00	17.23	4.39	12.90	553072.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	2110988.00	2110988.00	2.00	2.00	15.82	4.67	13.04	551708.00	111%
seqkit	UP9-all.fastq	fastIO	6031394.00	2110988.00	2110988.00	2.00	3.00	15.37	4.58	13.37	552292.00	116%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	2110988.00	2110988.00	2.00	1.00	14.71	3.47	11.23	297548.00	99%
